Fecha,Tienda,Región,Venta
7/16/2021,Gigaclub,West,477362
2/1/2020,Zoombox,Central,646541
3/7/2021,Realbuzz,West,650085
2/11/2020,Roodel,Central,682965
8/15/2021,Skajo,West,174031
12/14/2020,Feedmix,West,725751
1/13/2020,Topicshots,West,455118
5/25/2020,Wordpedia,West,334955
2/9/2020,Yacero,North,230191
11/25/2020,Quimm,East,564978
7/17/2020,Avaveo,North,141568
6/9/2021,Chatterbridge,Central,268752
11/19/2021,Yodoo,North,363058
5/28/2021,BlogXS,South,642549
5/23/2020,Yadel,West,539678
12/20/2021,Tagfeed,Central,435944
10/10/2021,Centizu,South,662190
9/20/2021,Omba,South,376349
1/18/2021,Wikibox,North,283566
3/9/2021,Flipstorm,West,826280
5/25/2020,Agimba,North,416617
1/8/2021,Twimbo,North,327253
9/8/2020,Photobean,South,670276
7/30/2020,Oyoloo,West,698912
7/23/2021,Skivee,South,864227
8/2/2020,Twitterbridge,West,972648
7/18/2020,Roodel,East,395372
11/19/2021,Tekfly,South,221383
1/28/2021,Pixope,Central,654295
8/8/2020,Zoozzy,North,646797
3/14/2020,Kaymbo,East,641874
7/20/2021,Fadeo,Central,464736
5/24/2020,Trunyx,West,777796
12/3/2020,Voomm,East,141558
11/10/2021,Zooxo,South,565260
5/27/2021,Brainlounge,West,157247
9/27/2020,Tambee,North,490376
12/22/2020,Aivee,North,362237
10/5/2021,Photobug,South,889941
10/1/2021,Chatterbridge,Central,237268
8/5/2020,Eire,North,894559
4/10/2021,Dabshots,Central,700065
10/19/2020,Avavee,Central,273440
7/31/2020,Meejo,South,370326
4/9/2020,Kazio,East,526532
3/24/2021,Photobean,North,866031
8/4/2020,Skajo,North,260116
7/1/2021,Wordify,West,964018
8/22/2020,Mydo,East,932152
3/20/2020,Jaxbean,North,631810
12/26/2020,Browseblab,Central,557931
7/19/2021,Fivespan,North,534440
6/15/2020,Wikido,Central,561526
10/19/2021,Edgeblab,South,833332
8/11/2021,Brainsphere,South,626308
2/17/2020,Bubbletube,East,868847
8/6/2021,Devpulse,East,542604
10/2/2021,Trudoo,North,198939
1/3/2020,Meevee,North,330557
11/6/2020,Brainbox,Central,826389
10/6/2021,Youspan,West,713091
12/4/2020,Quatz,Central,343514
8/6/2020,Plajo,Central,131974
6/12/2020,Thoughtstorm,West,463375
8/13/2020,Eabox,North,742022
7/12/2021,Tazz,North,929669
11/20/2021,Skinte,West,629313
4/19/2020,Kwideo,South,472373
3/28/2020,Jabbertype,West,764289
9/24/2020,Yambee,Central,404366
12/29/2021,Vinder,West,473473
7/2/2020,Thoughtblab,West,921531
10/29/2020,Avaveo,East,329205
7/4/2020,Geba,East,472453
7/16/2021,Eare,South,980196
5/4/2020,Browsetype,West,495574
8/10/2020,Twitternation,West,500847
11/17/2020,Eare,North,640552
7/1/2021,Zoovu,Central,865503
7/15/2021,Wikizz,East,244704
6/27/2021,Babbleset,East,689886
9/20/2021,Brainsphere,North,625501
10/6/2021,Yacero,West,999397
12/27/2020,Jetwire,East,906017
2/10/2021,Gabtype,Central,133179
2/1/2021,Zoomzone,South,182980
12/9/2021,Bluezoom,East,271489
11/19/2020,Oyope,East,203070
11/10/2020,Meezzy,South,647643
8/11/2020,Divanoodle,South,669859
12/24/2020,Fiveclub,Central,629510
9/16/2021,Kimia,East,392037
9/3/2020,Meezzy,South,222063
7/2/2020,Skyba,East,134457
7/13/2021,Feedfish,Central,736906
10/30/2020,Mynte,North,587236
6/10/2021,Blogpad,East,270836
3/3/2020,Voonyx,Central,663700
8/7/2021,Linklinks,West,388653
2/5/2020,Oyoyo,East,413643
4/18/2020,Oyoyo,East,157009
1/27/2021,Oyonder,East,105100
10/18/2020,Jaxspan,North,693188
9/7/2020,Photobean,Central,677781
12/11/2021,Realblab,West,383994
2/8/2021,Divape,Central,953727
9/7/2020,Livetube,West,724417
5/8/2021,Innojam,South,780441
9/25/2020,Flashdog,North,788952
6/11/2021,Wikizz,Central,137106
9/27/2021,Roombo,West,747787
4/25/2021,DabZ,North,722014
10/22/2021,Jaxspan,West,696386
10/18/2021,Youbridge,Central,458063
3/24/2020,Linktype,West,743997
4/26/2021,Browsezoom,North,347666
3/17/2021,Kwinu,East,914552
2/12/2021,Wikizz,East,814257
7/27/2021,Ntag,South,859674
2/8/2020,Buzzster,West,897391
12/14/2021,Photolist,West,397268
3/11/2021,Eazzy,South,910674
12/5/2020,Katz,Central,114840
10/21/2020,Abata,South,853515
7/24/2020,Voolia,North,720615
3/31/2021,Youbridge,South,829995
7/25/2021,Brightbean,Central,574021
7/2/2020,Izio,North,588424
11/26/2021,Jaxnation,Central,321708
8/8/2021,Browsezoom,South,299823
5/15/2021,Eimbee,East,265184
7/26/2021,Edgepulse,North,767311
5/22/2021,Zoomdog,North,559485
5/10/2020,Quire,North,625744
3/9/2020,Roodel,East,324373
12/31/2020,Feedspan,Central,152951
5/18/2021,Linklinks,Central,309376
11/22/2020,Tambee,West,766743
5/19/2020,Kaymbo,East,399809
3/24/2021,Cogibox,South,635061
7/15/2020,Voomm,South,536916
1/26/2021,Fivespan,West,283527
10/26/2021,Skimia,East,897375
6/6/2021,Thoughtbeat,North,258627
4/19/2020,Kwideo,West,497434
1/28/2020,Abatz,East,598265
6/16/2020,Mycat,Central,231212
3/18/2021,Fivespan,South,364888
11/5/2021,Abata,North,554732
12/5/2021,Riffpedia,North,412678
6/30/2021,Dabtype,East,700118
8/11/2021,Voomm,South,810876
5/10/2020,Devcast,North,573287
4/2/2020,Quimba,West,931293
4/13/2020,Skidoo,West,477683
6/15/2021,Dabfeed,West,278923
1/11/2021,Meejo,East,615962
11/6/2021,Brainbox,South,701204
1/28/2020,Tagcat,East,660485
8/26/2021,Jabbertype,Central,472225
7/29/2021,Kayveo,North,265290
3/21/2020,Browsebug,Central,828461
9/6/2020,Lazz,South,154468
8/20/2021,Devpoint,North,234088
9/6/2021,Ozu,Central,717410
3/30/2020,Brightbean,South,202650
8/29/2021,Buzzshare,North,383900
12/4/2021,Zoombox,South,790759
5/9/2020,Brightbean,East,305717
3/14/2020,Myworks,West,761601
12/13/2020,Realcube,East,497883
4/11/2021,Linklinks,North,910586
5/25/2020,Gabvine,East,712339
5/21/2020,Dabjam,South,965972
3/22/2020,Fivechat,West,439607
8/17/2020,Dynabox,East,533629
1/1/2020,Zoomcast,South,280197
7/2/2020,Mynte,South,421264
11/19/2021,Blognation,East,408766
12/1/2021,Meetz,West,142982
10/14/2021,Yakijo,East,596394
7/27/2021,Eabox,Central,680045
9/5/2020,Voomm,North,533706
12/25/2020,Nlounge,Central,893385
8/27/2021,Topdrive,East,171190
1/30/2021,Realcube,West,244105
8/3/2021,Skivee,East,464507
11/15/2021,Gigazoom,North,206528
8/25/2020,Youspan,West,955927
10/31/2021,Skippad,North,331357
11/16/2021,Wikizz,South,466049
3/16/2021,Rhycero,South,839662
9/21/2021,Eayo,East,253013
7/3/2021,Camido,Central,254151
9/13/2021,Abata,South,111845
6/1/2020,Twitterbeat,West,765659
10/10/2020,Feednation,North,922261
3/10/2021,Skipfire,North,530831
12/1/2021,Plambee,Central,300206
1/4/2020,DabZ,North,414590
2/28/2021,Divanoodle,West,460709
9/5/2021,Skajo,South,743507
4/30/2021,Kwinu,East,174005
1/15/2020,Kamba,West,243256
9/4/2021,Gabspot,East,171679
2/1/2020,Vipe,West,140012
3/2/2021,Realcube,South,219834
8/3/2020,Aibox,North,836628
1/9/2020,Eidel,Central,410434
6/26/2021,Flashset,Central,408551
5/7/2021,Voolith,West,870804
11/4/2021,Babbleblab,West,842191
7/19/2020,Voomm,North,669106
5/18/2021,Bubbletube,East,132482
7/14/2021,Pixoboo,South,348712
4/20/2021,Vimbo,West,446076
11/3/2020,Twimbo,East,792481
5/14/2021,Jaxworks,North,449696
2/21/2021,Oodoo,East,715209
5/17/2020,Wikizz,West,551479
8/26/2020,Ntag,North,187156
12/2/2020,Rooxo,North,409403
1/9/2021,Demivee,North,421718
11/10/2021,Skinder,North,268084
11/18/2020,Bubblebox,East,766093
